brand,month,coverage_status,metric_variant,gmv_reference,gmv_candidate,absolute_error,error_pct,classification
barbours,2026-01,valid,current_rule,880599.00,869898.28,10700.72,1.2152,reconciled
barbours,2026-01,valid,competencia_date_closed,880599.00,870022.04,10576.96,1.2011,evaluated_not_adopted
barbours,2026-01,valid,paid_amount,880599.00,874876.51,5722.49,0.6498,evaluated_not_adopted
barbours,2026-01,valid,exclude_refund_chargeback_payment,880599.00,869475.95,11123.05,1.2631,evaluated_not_adopted
barbours,2026-02,valid,current_rule,1191752.27,1180049.58,11702.69,0.9820,reconciled
barbours,2026-02,valid,competencia_date_closed,1191752.27,1179996.78,11755.49,0.9864,evaluated_not_adopted
barbours,2026-02,valid,paid_amount,1191752.27,1187507.32,4244.95,0.3562,evaluated_not_adopted
barbours,2026-02,valid,exclude_refund_chargeback_payment,1191752.27,1179301.29,12450.98,1.0448,evaluated_not_adopted
barbours,2026-03,excluded_partial_load,current_rule,2193217.84,1855698.93,337518.91,15.3892,excluded_partial_load
barbours,2026-03,excluded_partial_load,competencia_date_closed,2193217.84,1855708.88,337508.96,15.3888,excluded_partial_load
barbours,2026-03,excluded_partial_load,paid_amount,2193217.84,1870139.75,323078.09,14.7308,excluded_partial_load
barbours,2026-03,excluded_partial_load,exclude_refund_chargeback_payment,2193217.84,1854315.30,338902.54,15.4523,excluded_partial_load
barbours,2026-04,excluded_partial_load,current_rule,2157550.98,1958196.41,199354.57,9.2399,excluded_partial_load
barbours,2026-04,excluded_partial_load,competencia_date_closed,2157550.98,1957217.93,200333.05,9.2852,excluded_partial_load
barbours,2026-04,excluded_partial_load,paid_amount,2157550.98,1974650.46,182900.52,8.4772,excluded_partial_load
barbours,2026-04,excluded_partial_load,exclude_refund_chargeback_payment,2157550.98,1957507.31,200043.67,9.2718,excluded_partial_load
barbours,2026-05,valid,current_rule,2621563.85,2574181.00,47382.85,1.8074,reconciled
barbours,2026-05,valid,competencia_date_closed,2621563.85,2575396.28,46167.57,1.7611,evaluated_not_adopted
barbours,2026-05,valid,paid_amount,2621563.85,2599605.14,21958.71,0.8376,evaluated_not_adopted
barbours,2026-05,valid,exclude_refund_chargeback_payment,2621563.85,2574181.00,47382.85,1.8074,evaluated_not_adopted
kokeshi,2026-01,valid,current_rule,250269.21,246794.95,3474.26,1.3882,reconciled
kokeshi,2026-01,valid,competencia_date_closed,250269.21,246794.95,3474.26,1.3882,evaluated_not_adopted
kokeshi,2026-01,valid,paid_amount,250269.21,247650.17,2619.04,1.0465,evaluated_not_adopted
kokeshi,2026-01,valid,exclude_refund_chargeback_payment,250269.21,246670.36,3598.85,1.4380,evaluated_not_adopted
kokeshi,2026-02,valid,current_rule,347994.60,349587.99,1593.39,0.4579,reconciled
kokeshi,2026-02,valid,competencia_date_closed,347994.60,349471.29,1476.69,0.4243,evaluated_not_adopted
kokeshi,2026-02,valid,paid_amount,347994.60,352449.42,4454.82,1.2801,evaluated_not_adopted
kokeshi,2026-02,valid,exclude_refund_chargeback_payment,347994.60,348523.34,528.74,0.1519,evaluated_not_adopted
kokeshi,2026-03,excluded_partial_load,current_rule,453249.92,22479.87,430770.05,95.0403,excluded_partial_load
kokeshi,2026-03,excluded_partial_load,competencia_date_closed,453249.92,22596.57,430653.35,95.0145,excluded_partial_load
kokeshi,2026-03,excluded_partial_load,paid_amount,453249.92,22681.69,430568.23,94.9958,excluded_partial_load
kokeshi,2026-03,excluded_partial_load,exclude_refund_chargeback_payment,453249.92,22375.37,430874.55,95.0633,excluded_partial_load
kokeshi,2026-04,excluded_partial_load,current_rule,557474.28,166125.65,391348.63,70.2003,excluded_partial_load
kokeshi,2026-04,excluded_partial_load,competencia_date_closed,557474.28,165994.45,391479.83,70.2238,excluded_partial_load
kokeshi,2026-04,excluded_partial_load,paid_amount,557474.28,167516.28,389958.00,69.9509,excluded_partial_load
kokeshi,2026-04,excluded_partial_load,exclude_refund_chargeback_payment,557474.28,166125.65,391348.63,70.2003,excluded_partial_load
kokeshi,2026-05,valid,current_rule,694595.80,789185.88,94590.08,13.6180,residual_unexplained
kokeshi,2026-05,valid,competencia_date_closed,694595.80,789317.08,94721.28,13.6369,evaluated_not_adopted
kokeshi,2026-05,valid,paid_amount,694595.80,794319.59,99723.79,14.3571,evaluated_not_adopted
kokeshi,2026-05,valid,exclude_refund_chargeback_payment,694595.80,789185.88,94590.08,13.6180,evaluated_not_adopted
lescent,2026-01,valid,current_rule,369711.18,370084.91,373.73,0.1011,reconciled
lescent,2026-01,valid,competencia_date_closed,369711.18,370420.39,709.21,0.1918,evaluated_not_adopted
lescent,2026-01,valid,paid_amount,369711.18,374529.46,4818.28,1.3033,evaluated_not_adopted
lescent,2026-01,valid,exclude_refund_chargeback_payment,369711.18,370036.89,325.71,0.0881,evaluated_not_adopted
lescent,2026-02,valid,current_rule,248246.40,249812.65,1566.25,0.6309,reconciled
lescent,2026-02,valid,competencia_date_closed,248246.40,249821.97,1575.57,0.6347,evaluated_not_adopted
lescent,2026-02,valid,paid_amount,248246.40,252547.20,4300.80,1.7325,evaluated_not_adopted
lescent,2026-02,valid,exclude_refund_chargeback_payment,248246.40,249681.47,1435.07,0.5781,evaluated_not_adopted
lescent,2026-03,excluded_partial_load,current_rule,463429.79,207078.42,256351.37,55.3161,excluded_partial_load
lescent,2026-03,excluded_partial_load,competencia_date_closed,463429.79,207117.12,256312.67,55.3078,excluded_partial_load
lescent,2026-03,excluded_partial_load,paid_amount,463429.79,210178.72,253251.07,54.6471,excluded_partial_load
lescent,2026-03,excluded_partial_load,exclude_refund_chargeback_payment,463429.79,207078.42,256351.37,55.3161,excluded_partial_load
lescent,2026-04,excluded_partial_load,current_rule,506449.76,100412.51,406037.25,80.1733,excluded_partial_load
lescent,2026-04,excluded_partial_load,competencia_date_closed,506449.76,100298.94,406150.82,80.1957,excluded_partial_load
lescent,2026-04,excluded_partial_load,paid_amount,506449.76,102082.77,404366.99,79.8435,excluded_partial_load
lescent,2026-04,excluded_partial_load,exclude_refund_chargeback_payment,506449.76,100373.90,406075.86,80.1809,excluded_partial_load
lescent,2026-05,valid,current_rule,552966.13,552078.14,887.99,0.1606,reconciled
lescent,2026-05,valid,competencia_date_closed,552966.13,552116.75,849.38,0.1536,evaluated_not_adopted
lescent,2026-05,valid,paid_amount,552966.13,560866.26,7900.13,1.4287,evaluated_not_adopted
lescent,2026-05,valid,exclude_refund_chargeback_payment,552966.13,552078.14,887.99,0.1606,evaluated_not_adopted
rituaria,2026-01,valid,current_rule,1161029.68,1086580.75,74448.93,6.4123,residual_unexplained
rituaria,2026-01,valid,competencia_date_closed,1161029.68,1086393.74,74635.94,6.4284,evaluated_not_adopted
rituaria,2026-01,valid,paid_amount,1161029.68,1094704.92,66324.76,5.7126,evaluated_not_adopted
rituaria,2026-01,valid,exclude_refund_chargeback_payment,1161029.68,1085575.17,75454.51,6.4989,evaluated_not_adopted
rituaria,2026-02,valid,current_rule,1261832.83,1276923.10,15090.27,1.1959,reconciled
rituaria,2026-02,valid,competencia_date_closed,1261832.83,1276779.94,14947.11,1.1846,evaluated_not_adopted
rituaria,2026-02,valid,paid_amount,1261832.83,1282432.30,20599.47,1.6325,evaluated_not_adopted
rituaria,2026-02,valid,exclude_refund_chargeback_payment,1261832.83,1276500.78,14667.95,1.1624,evaluated_not_adopted
rituaria,2026-03,valid,current_rule,1930169.31,1913711.54,16457.77,0.8527,reconciled
rituaria,2026-03,valid,competencia_date_closed,1930169.31,1913289.14,16880.17,0.8745,evaluated_not_adopted
rituaria,2026-03,valid,paid_amount,1930169.31,1920839.79,9329.52,0.4834,evaluated_not_adopted
rituaria,2026-03,valid,exclude_refund_chargeback_payment,1930169.31,1913423.24,16746.07,0.8676,evaluated_not_adopted
rituaria,2026-04,valid,current_rule,1248840.28,1250410.63,1570.35,0.1257,reconciled
rituaria,2026-04,valid,competencia_date_closed,1248840.28,1250585.23,1744.95,0.1397,evaluated_not_adopted
rituaria,2026-04,valid,paid_amount,1248840.28,1255950.01,7109.73,0.5693,evaluated_not_adopted
rituaria,2026-04,valid,exclude_refund_chargeback_payment,1248840.28,1249990.46,1150.18,0.0921,evaluated_not_adopted
rituaria,2026-05,valid,current_rule,1217681.96,1232211.96,14530.00,1.1933,reconciled
rituaria,2026-05,valid,competencia_date_closed,1217681.96,1232021.06,14339.10,1.1776,evaluated_not_adopted
rituaria,2026-05,valid,paid_amount,1217681.96,1241396.57,23714.61,1.9475,evaluated_not_adopted
rituaria,2026-05,valid,exclude_refund_chargeback_payment,1217681.96,1231413.79,13731.83,1.1277,evaluated_not_adopted
